wave[um],flux[W/m^2/um]
0.5018,7.6823e-19
0.5020,8.3613e-19
0.5023,9.1483e-19
0.5025,9.8516e-19
0.5028,9.8548e-19
0.5030,9.7296e-19
0.5033,9.9935e-19
0.5035,1.0450e-18
0.5038,1.0882e-18
0.5040,1.1633e-18
0.5043,1.2084e-18
0.5045,1.1616e-18
0.5048,1.0906e-18
0.5050,1.0156e-18
0.5053,1.0338e-18
0.5056,1.0400e-18
0.5058,9.2562e-19
0.5061,8.1325e-19
0.5063,8.1498e-19
0.5066,8.4959e-19
0.5068,8.1336e-19
0.5071,8.2326e-19
0.5073,8.7188e-19
0.5076,9.1444e-19
0.5078,9.7110e-19
0.5081,9.7114e-19
0.5083,8.7394e-19
0.5086,8.2486e-19
0.5088,8.2510e-19
0.5091,8.0452e-19
0.5094,7.9923e-19
0.5096,7.6154e-19
0.5099,7.1334e-19
0.5101,6.8657e-19
0.5104,6.6798e-19
0.5106,5.9878e-19
0.5109,5.6964e-19
0.5111,5.9078e-19
0.5114,5.8467e-19
0.5117,5.6092e-19
0.5119,5.3980e-19
0.5122,5.3087e-19
